business_name,phone_e164,city,category,demo_url,message
Hou8 Renovations,+17789971973,Richmond,General Contractor,https://jaggyai.github.io/bc-demos/richmond/contractors/hou8-renovations/,"Hi, it's Jag - I build websites for Richmond businesses & built Hou8 Renovations a free demo: https://jaggyai.github.io/bc-demos/richmond/contractors/hou8-renovations/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Zentro Contracting Ltd. 大桥建筑,+17788659922,Richmond,General Contractor,https://jaggyai.github.io/bc-demos/richmond/contractors/zentro-contracting-ltd/,"Hi, it's Jag - I build websites for Richmond businesses & built Zentro Contracting Ltd. 大桥建筑 a free demo: https://jaggyai.github.io/bc-demos/richmond/contractors/zentro-contracting-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Lopardz Excavating Inc,+16048381454,Richmond,Excavating contractor,https://jaggyai.github.io/bc-demos/richmond/excavating/lopardz-excavating-inc/,"Hi, it's Jag - I build websites for Richmond businesses & built Lopardz Excavating Inc a free demo: https://jaggyai.github.io/bc-demos/richmond/excavating/lopardz-excavating-inc/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
SSL Enterprises Inc.,+16048332103,Richmond,Excavating contractor,https://jaggyai.github.io/bc-demos/richmond/excavating/ssl-enterprises-inc/,"Hi, it's Jag - I build websites for Richmond businesses & built SSL Enterprises Inc. a free demo: https://jaggyai.github.io/bc-demos/richmond/excavating/ssl-enterprises-inc/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Flora Framing Ltd.,+17788623307,Richmond,Construction Company,https://jaggyai.github.io/bc-demos/richmond/contractors/flora-framing-ltd/,"Hi, it's Jag - I build websites for Richmond businesses & built Flora Framing Ltd. a free demo: https://jaggyai.github.io/bc-demos/richmond/contractors/flora-framing-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Fierce Property Services,+17785549211,Richmond,General Contractor,https://jaggyai.github.io/bc-demos/richmond/contractors/fierce-property-services/,"Hi, it's Jag - I build websites for Richmond businesses & built Fierce Property Services a free demo: https://jaggyai.github.io/bc-demos/richmond/contractors/fierce-property-services/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Cores Light Concrete Cutting & Coring LTD.,+12365133778,Richmond,Concrete contractor,https://jaggyai.github.io/bc-demos/richmond/concrete/cores-light-concrete-cutting-coring-ltd/,"Hi, it's Jag - I build websites for Richmond businesses & built Cores Light Concrete Cutting & Coring LTD. a free demo: https://jaggyai.github.io/bc-demos/richmond/concrete/cores-light-concrete-cutting-coring-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Alin Advanced Railings,+17788894241,Richmond,General Contractor,https://jaggyai.github.io/bc-demos/richmond/contractors/alin-advanced-railings/,"Hi, it's Jag - I build websites for Richmond businesses & built Alin Advanced Railings a free demo: https://jaggyai.github.io/bc-demos/richmond/contractors/alin-advanced-railings/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
General Landscape Ltd.,+16043513433,Richmond,Landscape Gardener,https://jaggyai.github.io/bc-demos/richmond/landscapers/general-landscape-ltd/,"Hi, it's Jag - I build websites for Richmond businesses & built General Landscape Ltd. a free demo: https://jaggyai.github.io/bc-demos/richmond/landscapers/general-landscape-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Whitewater Concrete Ltd,+16044649111,Richmond,Concrete contractor,https://jaggyai.github.io/bc-demos/richmond/concrete/whitewater-concrete-ltd/,"Hi, it's Jag - I build websites for Richmond businesses & built Whitewater Concrete Ltd a free demo: https://jaggyai.github.io/bc-demos/richmond/concrete/whitewater-concrete-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
