business_name,phone_e164,city,category,demo_url,message
Northwest Coast Development Ltd.,+16042908762,Burnaby,Construction company,https://jaggyai.github.io/bc-demos/burnaby/contractors/northwest-coast-development-ltd/,"Hi, it's Jag - I build websites for Burnaby businesses & built Northwest Coast Development Ltd. a free demo: https://jaggyai.github.io/bc-demos/burnaby/contractors/northwest-coast-development-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Construcción pretel,+16724725106,Burnaby,Construction company,https://jaggyai.github.io/bc-demos/burnaby/contractors/construcci-n-pretel/,"Hi, it's Jag - I build websites for Burnaby businesses & built Construcción pretel a free demo: https://jaggyai.github.io/bc-demos/burnaby/contractors/construcci-n-pretel/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
ACAB Construction,+16479995778,Burnaby,Construction company,https://jaggyai.github.io/bc-demos/burnaby/contractors/acab-construction/,"Hi, it's Jag - I build websites for Burnaby businesses & built ACAB Construction a free demo: https://jaggyai.github.io/bc-demos/burnaby/contractors/acab-construction/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Quetzali flooring LTD,+16047547206,Burnaby,Flooring contractor,https://jaggyai.github.io/bc-demos/burnaby/flooring/quetzali-flooring-ltd/,"Hi, it's Jag - I build websites for Burnaby businesses & built Quetzali flooring LTD a free demo: https://jaggyai.github.io/bc-demos/burnaby/flooring/quetzali-flooring-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Greenline Landscaping Ltd,+16045223863,Burnaby,Landscaper,https://jaggyai.github.io/bc-demos/burnaby/landscapers/greenline-landscaping-ltd/,"Hi, it's Jag - I build websites for Burnaby businesses & built Greenline Landscaping Ltd a free demo: https://jaggyai.github.io/bc-demos/burnaby/landscapers/greenline-landscaping-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
TAF Construction Ltd,+16042541111,Burnaby,Concrete contractor,https://jaggyai.github.io/bc-demos/burnaby/concrete/taf-construction-ltd/,"Hi, it's Jag - I build websites for Burnaby businesses & built TAF Construction Ltd a free demo: https://jaggyai.github.io/bc-demos/burnaby/concrete/taf-construction-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Simas Design & Development Ltd - Edward Simas,+16043132569,Burnaby,Landscaper,https://jaggyai.github.io/bc-demos/burnaby/landscapers/simas-design-development-ltd-edward-simas/,"Hi, it's Jag - I build websites for Burnaby businesses & built Simas Design & Development Ltd - Edward Simas a free demo: https://jaggyai.github.io/bc-demos/burnaby/landscapers/simas-design-development-ltd-edward-simas/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
ElkRidge Construction & Renovations,+16048680939,Burnaby,General contractor,https://jaggyai.github.io/bc-demos/burnaby/contractors/elkridge-construction-renovations/,"Hi, it's Jag - I build websites for Burnaby businesses & built ElkRidge Construction & Renovations a free demo: https://jaggyai.github.io/bc-demos/burnaby/contractors/elkridge-construction-renovations/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Wismer & Mathieson Projects Ltd,+16044739587,Burnaby,General contractor,https://jaggyai.github.io/bc-demos/burnaby/contractors/wismer-mathieson-projects-ltd/,"Hi, it's Jag - I build websites for Burnaby businesses & built Wismer & Mathieson Projects Ltd a free demo: https://jaggyai.github.io/bc-demos/burnaby/contractors/wismer-mathieson-projects-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Standard Metal Industries Ltd,+16044353328,Burnaby,Railing contractor,https://jaggyai.github.io/bc-demos/burnaby/fence-deck/standard-metal-industries-ltd/,"Hi, it's Jag - I build websites for Burnaby businesses & built Standard Metal Industries Ltd a free demo: https://jaggyai.github.io/bc-demos/burnaby/fence-deck/standard-metal-industries-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Primavera Construction Ltd - Residential & Commercial,+16045055331,Burnaby,Construction company,https://jaggyai.github.io/bc-demos/burnaby/contractors/primavera-construction-ltd-residential-commercial/,"Hi, it's Jag - I build websites for Burnaby businesses & built Primavera Construction Ltd - Residential & Commercial a free demo: https://jaggyai.github.io/bc-demos/burnaby/contractors/primavera-construction-ltd-residential-commercial/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Western Sundecks,+16044327908,Burnaby,Railing contractor,https://jaggyai.github.io/bc-demos/burnaby/fence-deck/western-sundecks/,"Hi, it's Jag - I build websites for Burnaby businesses & built Western Sundecks a free demo: https://jaggyai.github.io/bc-demos/burnaby/fence-deck/western-sundecks/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Trend Chimney Fireplace & Stone Work,+17789867352,Burnaby,Masonry contractor,https://jaggyai.github.io/bc-demos/burnaby/concrete/trend-chimney-fireplace-stone-work/,"Hi, it's Jag - I build websites for Burnaby businesses & built Trend Chimney Fireplace & Stone Work a free demo: https://jaggyai.github.io/bc-demos/burnaby/concrete/trend-chimney-fireplace-stone-work/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
