business_name,phone_e164,city,category,demo_url,message
HCM 2016,+12506401581,Prince George,HVAC contractor,https://jaggyai.github.io/bc-demos/prince-george/hvac/hcm-2016/,"Hi, it's Jag - I build websites for Prince George businesses & built HCM 2016 a free demo: https://jaggyai.github.io/bc-demos/prince-george/hvac/hcm-2016/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Dart Yard & Lawn Care,+12505636311,Prince George,Landscape designer,https://jaggyai.github.io/bc-demos/prince-george/landscapers/dart-yard-lawn-care/,"Hi, it's Jag - I build websites for Prince George businesses & built Dart Yard & Lawn Care a free demo: https://jaggyai.github.io/bc-demos/prince-george/landscapers/dart-yard-lawn-care/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Falcon Contracting Ltd.,+12505635609,Prince George,General contractor,https://jaggyai.github.io/bc-demos/prince-george/contractors/falcon-contracting-ltd/,"Hi, it's Jag - I build websites for Prince George businesses & built Falcon Contracting Ltd. a free demo: https://jaggyai.github.io/bc-demos/prince-george/contractors/falcon-contracting-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Northern Energy Constructors,+12505628100,Prince George,General contractor,https://jaggyai.github.io/bc-demos/prince-george/contractors/northern-energy-constructors/,"Hi, it's Jag - I build websites for Prince George businesses & built Northern Energy Constructors a free demo: https://jaggyai.github.io/bc-demos/prince-george/contractors/northern-energy-constructors/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
J D T Construction Ltd,+12505612027,Prince George,Steel construction company,https://jaggyai.github.io/bc-demos/prince-george/contractors/j-d-t-construction-ltd/,"Hi, it's Jag - I build websites for Prince George businesses & built J D T Construction Ltd a free demo: https://jaggyai.github.io/bc-demos/prince-george/contractors/j-d-t-construction-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Majestic Bridge Building Inc,+12505622151,Prince George,Construction company,https://jaggyai.github.io/bc-demos/prince-george/contractors/majestic-bridge-building-inc/,"Hi, it's Jag - I build websites for Prince George businesses & built Majestic Bridge Building Inc a free demo: https://jaggyai.github.io/bc-demos/prince-george/contractors/majestic-bridge-building-inc/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Stella Built Masonry Ltd,+12506406895,Prince George,Masonry contractor,https://jaggyai.github.io/bc-demos/prince-george/concrete/stella-built-masonry-ltd/,"Hi, it's Jag - I build websites for Prince George businesses & built Stella Built Masonry Ltd a free demo: https://jaggyai.github.io/bc-demos/prince-george/concrete/stella-built-masonry-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
H Ribeiro Contracting,+12505633645,Prince George,General contractor,https://jaggyai.github.io/bc-demos/prince-george/contractors/h-ribeiro-contracting/,"Hi, it's Jag - I build websites for Prince George businesses & built H Ribeiro Contracting a free demo: https://jaggyai.github.io/bc-demos/prince-george/contractors/h-ribeiro-contracting/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Yellowridge Construction Ltd,+12505627731,Prince George,General contractor,https://jaggyai.github.io/bc-demos/prince-george/contractors/yellowridge-construction-ltd/,"Hi, it's Jag - I build websites for Prince George businesses & built Yellowridge Construction Ltd a free demo: https://jaggyai.github.io/bc-demos/prince-george/contractors/yellowridge-construction-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Stane's Stucco & Plastering,+12505635851,Prince George,Stucco contractor,https://jaggyai.github.io/bc-demos/prince-george/drywall/stanes-stucco-plastering/,"Hi, it's Jag - I build websites for Prince George businesses & built Stane's Stucco & Plastering a free demo: https://jaggyai.github.io/bc-demos/prince-george/drywall/stanes-stucco-plastering/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Centre City Drywall,+12505646600,Prince George,Dry wall contractor,https://jaggyai.github.io/bc-demos/prince-george/drywall/centre-city-drywall/,"Hi, it's Jag - I build websites for Prince George businesses & built Centre City Drywall a free demo: https://jaggyai.github.io/bc-demos/prince-george/drywall/centre-city-drywall/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Arxx Insulated Concrete Form,+12505622500,Prince George,Construction company,https://jaggyai.github.io/bc-demos/prince-george/contractors/arxx-insulated-concrete-form/,"Hi, it's Jag - I build websites for Prince George businesses & built Arxx Insulated Concrete Form a free demo: https://jaggyai.github.io/bc-demos/prince-george/contractors/arxx-insulated-concrete-form/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Nail and Frame homes & renovation ltd.,+12505524740,Prince George,Home builder,https://jaggyai.github.io/bc-demos/prince-george/contractors/nail-and-frame-homes-renovation-ltd/,"Hi, it's Jag - I build websites for Prince George businesses & built Nail and Frame homes & renovation ltd. a free demo: https://jaggyai.github.io/bc-demos/prince-george/contractors/nail-and-frame-homes-renovation-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Crossroads Construction Co Ltd,+12505622102,Prince George,General contractor,https://jaggyai.github.io/bc-demos/prince-george/contractors/crossroads-construction-co-ltd/,"Hi, it's Jag - I build websites for Prince George businesses & built Crossroads Construction Co Ltd a free demo: https://jaggyai.github.io/bc-demos/prince-george/contractors/crossroads-construction-co-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
R J Cooper Construction Ltd,+12505634649,Prince George,Construction company,https://jaggyai.github.io/bc-demos/prince-george/contractors/r-j-cooper-construction-ltd/,"Hi, it's Jag - I build websites for Prince George businesses & built R J Cooper Construction Ltd a free demo: https://jaggyai.github.io/bc-demos/prince-george/contractors/r-j-cooper-construction-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Fortress Construction Ltd,+12506141144,Prince George,General contractor,https://jaggyai.github.io/bc-demos/prince-george/contractors/fortress-construction-ltd/,"Hi, it's Jag - I build websites for Prince George businesses & built Fortress Construction Ltd a free demo: https://jaggyai.github.io/bc-demos/prince-george/contractors/fortress-construction-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Blackwater Construction Co,+12505611729,Prince George,Excavating contractor,https://jaggyai.github.io/bc-demos/prince-george/excavating/blackwater-construction-co/,"Hi, it's Jag - I build websites for Prince George businesses & built Blackwater Construction Co a free demo: https://jaggyai.github.io/bc-demos/prince-george/excavating/blackwater-construction-co/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Pioneer Rail Contracting Ltd,+12508515235,Prince George,General contractor,https://jaggyai.github.io/bc-demos/prince-george/contractors/pioneer-rail-contracting-ltd/,"Hi, it's Jag - I build websites for Prince George businesses & built Pioneer Rail Contracting Ltd a free demo: https://jaggyai.github.io/bc-demos/prince-george/contractors/pioneer-rail-contracting-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
