business_name,phone_e164,city,category,demo_url,message
Insulpro Insulation Inc,+12507511108,Nanaimo,Insulation contractor,https://jaggyai.github.io/bc-demos/nanaimo/drywall/insulpro-insulation-inc/,"Hi, it's Jag - I build websites for Nanaimo businesses & built Insulpro Insulation Inc a free demo: https://jaggyai.github.io/bc-demos/nanaimo/drywall/insulpro-insulation-inc/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
ANDY UNIQUE FLOORING INC,+12509881809,Nanaimo,Flooring contractor,https://jaggyai.github.io/bc-demos/nanaimo/flooring/andy-unique-flooring-inc/,"Hi, it's Jag - I build websites for Nanaimo businesses & built ANDY UNIQUE FLOORING INC a free demo: https://jaggyai.github.io/bc-demos/nanaimo/flooring/andy-unique-flooring-inc/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
FDG Flooring LTD,+17782680800,Nanaimo,Flooring contractor,https://jaggyai.github.io/bc-demos/nanaimo/flooring/fdg-flooring-ltd/,"Hi, it's Jag - I build websites for Nanaimo businesses & built FDG Flooring LTD a free demo: https://jaggyai.github.io/bc-demos/nanaimo/flooring/fdg-flooring-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
3L Developments,+12503905158,Nanaimo,Real estate developer,https://jaggyai.github.io/bc-demos/nanaimo/real-estate/3l-developments/,"Hi, it's Jag - I build websites for Nanaimo businesses & built 3L Developments a free demo: https://jaggyai.github.io/bc-demos/nanaimo/real-estate/3l-developments/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Yorkshire Rose Outdoor Renovations Ltd,+12506073000,Nanaimo,Landscaper,https://jaggyai.github.io/bc-demos/nanaimo/landscapers/yorkshire-rose-outdoor-renovations-ltd/,"Hi, it's Jag - I build websites for Nanaimo businesses & built Yorkshire Rose Outdoor Renovations Ltd a free demo: https://jaggyai.github.io/bc-demos/nanaimo/landscapers/yorkshire-rose-outdoor-renovations-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Thirty Six Contracting Ltd,+12506163956,Nanaimo,Construction company,https://jaggyai.github.io/bc-demos/nanaimo/contractors/thirty-six-contracting-ltd/,"Hi, it's Jag - I build websites for Nanaimo businesses & built Thirty Six Contracting Ltd a free demo: https://jaggyai.github.io/bc-demos/nanaimo/contractors/thirty-six-contracting-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Seaside Excavating LTD.,+12508164905,Nanaimo,Excavating contractor,https://jaggyai.github.io/bc-demos/nanaimo/excavating/seaside-excavating-ltd/,"Hi, it's Jag - I build websites for Nanaimo businesses & built Seaside Excavating LTD. a free demo: https://jaggyai.github.io/bc-demos/nanaimo/excavating/seaside-excavating-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Solmie Excavating Ltd,+12507220041,Nanaimo,Excavating contractor,https://jaggyai.github.io/bc-demos/nanaimo/excavating/solmie-excavating-ltd/,"Hi, it's Jag - I build websites for Nanaimo businesses & built Solmie Excavating Ltd a free demo: https://jaggyai.github.io/bc-demos/nanaimo/excavating/solmie-excavating-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Christopher L. Projects,+12505917773,Nanaimo,Construction company,https://jaggyai.github.io/bc-demos/nanaimo/contractors/christopher-l-projects/,"Hi, it's Jag - I build websites for Nanaimo businesses & built Christopher L. Projects a free demo: https://jaggyai.github.io/bc-demos/nanaimo/contractors/christopher-l-projects/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Higgins Group Interior Design,+12507582131,Nanaimo,Interior designer,https://jaggyai.github.io/bc-demos/nanaimo/interior-design/higgins-group-interior-design/,"Hi, it's Jag - I build websites for Nanaimo businesses & built Higgins Group Interior Design a free demo: https://jaggyai.github.io/bc-demos/nanaimo/interior-design/higgins-group-interior-design/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Roulston Landscaping,+12507294933,Nanaimo,Landscaper,https://jaggyai.github.io/bc-demos/nanaimo/landscapers/roulston-landscaping/,"Hi, it's Jag - I build websites for Nanaimo businesses & built Roulston Landscaping a free demo: https://jaggyai.github.io/bc-demos/nanaimo/landscapers/roulston-landscaping/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
E&M Coatings,+12506192481,Nanaimo,Asphalt contractor,https://jaggyai.github.io/bc-demos/nanaimo/concrete/e-m-coatings/,"Hi, it's Jag - I build websites for Nanaimo businesses & built E&M Coatings a free demo: https://jaggyai.github.io/bc-demos/nanaimo/concrete/e-m-coatings/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Ron's Landscaping Service Ltd,+12507589999,Nanaimo,Landscaper,https://jaggyai.github.io/bc-demos/nanaimo/landscapers/rons-landscaping-service-ltd/,"Hi, it's Jag - I build websites for Nanaimo businesses & built Ron's Landscaping Service Ltd a free demo: https://jaggyai.github.io/bc-demos/nanaimo/landscapers/rons-landscaping-service-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Newlands Outdoor Projects Ltd.,+12507135657,Nanaimo,Lawn sprinkler system contractor,https://jaggyai.github.io/bc-demos/nanaimo/landscapers/newlands-outdoor-projects-ltd/,"Hi, it's Jag - I build websites for Nanaimo businesses & built Newlands Outdoor Projects Ltd. a free demo: https://jaggyai.github.io/bc-demos/nanaimo/landscapers/newlands-outdoor-projects-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Kitchen Renew and More - Kitchen Renovations Vancouver Island,+12503272153,Nanaimo,Kitchen remodeler,https://jaggyai.github.io/bc-demos/nanaimo/interior-design/kitchen-renew-and-more-kitchen-renovations-vancouver-island/,"Hi, it's Jag - I build websites for Nanaimo businesses & built Kitchen Renew and More - Kitchen Renovations Vancouver Island a free demo: https://jaggyai.github.io/bc-demos/nanaimo/interior-design/kitchen-renew-and-more-kitchen-renovations-vancouver-island/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
The Painted Poppy Studio,+12506163028,Nanaimo,Interior designer,https://jaggyai.github.io/bc-demos/nanaimo/interior-design/the-painted-poppy-studio/,"Hi, it's Jag - I build websites for Nanaimo businesses & built The Painted Poppy Studio a free demo: https://jaggyai.github.io/bc-demos/nanaimo/interior-design/the-painted-poppy-studio/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
